tree_id,generated_id,WBI_VALUE,NDMI2_VALUE,NDSI_RWC_VALUE,PRI_VALUE,WBI_WATER_BLOCK,SWIR_WATER_BLOCK,PRI_PHYSIOLOGICAL_SUPPORT,WATER_EVIDENCE_STATUS,WATER_DOMAIN_STATE,WATER_MEASUREMENT_QUALITY,NDRE_VALUE,CIRED_EDGE_VALUE,REP_D1_NM_VALUE,PSRI_VALUE,SIPI_VALUE,ARI1_VALUE,NDVI_VALUE,BIO_CHL_RE_SUPPORTED,BIO_PIGMENT_SUPPORTED,BIO_ARI1_HIGH,BIOCHEMICAL_STATUS,BIOCHEMICAL_DOMAIN_STATE,H_P95_m,RASTER_CHM_P95_m,H_IQR_m,STRUCTURE_QC_FINAL,STRUCTURE_STATUS_FINAL,STRUCTURE_EVIDENCE_STRENGTH,STRUCTURE_DOMAIN_STATE,HIGH_VERTICAL_VARIABILITY_CONTEXT,WATER_SUPPORTED,BIOCHEMICAL_SUPPORTED,STRUCTURE_LOW_STATURE,STRUCTURE_CORROBORATED,SUPPORTED_DOMAIN_COUNT,ASSESSABLE_DOMAIN_COUNT,MULTIDOMAIN_COMPLETENESS,CROSS_DOMAIN_PATTERN,FIELD_INSPECTION_TIER,CROSS_DOMAIN_INTERPRETATION,INTERPRETATION_BOUNDARY
2,2,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,2.1068980216979982,,0.3598379492759704,WARN,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,False,False,False,False,False,0,1,LIMITED_0_OR_1_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
5,5,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,1.8289135992527008,1.7806488037109374,0.7627946585416794,PASS,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,False,False,False,False,False,0,1,LIMITED_0_OR_1_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
6,6,1.05585042098864,,,-0.0807508281546159,NO_ANOMALY,NOT_ASSESSABLE,NO_ABNORMALITY,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,0.4061261754285302,1.4372925988849286,727.0056241191137,0.0537086905450099,1.1072274275974967,2.53320131623627,0.728918323807518,False,False,False,NO_CONCORDANT_BIOCHEMICAL_DECLINE,NO_CONCORDANT_ANOMALY,2.4498983144760134,2.390837860107422,0.7176944315433502,PASS,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,False,False,False,False,False,0,2,PARTIAL_2_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
8,8,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,2.429767370223999,2.55460205078125,0.4736860990524292,PASS,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,False,False,False,False,False,0,1,LIMITED_0_OR_1_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
9,9,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,0.6998388320207596,0.563995361328125,0.1220495402812957,WARN,CORROBORATED_LOW_STRUCTURAL_STATURE,CORROBORATED,LOW_STATURE_CORROBORATED,False,False,False,True,True,1,1,LIMITED_0_OR_1_OF_3,STRUCTURE_ONLY,SINGLE_DOMAIN_PRIORITY,Relatively low structural stature is present without another supported major-domain anomaly.,"Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
10,10,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,2.13531608581543,2.0675979614257813,1.5290932804346085,PASS,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,True,False,False,False,False,0,1,LIMITED_0_OR_1_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
12,12,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,1.633739173412323,1.4053993225097656,0.6952180713415146,PASS,CORROBORATED_LOW_STRUCTURAL_STATURE,CORROBORATED,LOW_STATURE_CORROBORATED,False,False,False,True,True,1,1,LIMITED_0_OR_1_OF_3,STRUCTURE_ONLY,SINGLE_DOMAIN_PRIORITY,Relatively low structural stature is present without another supported major-domain anomaly.,"Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
13,13,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,2.0472404718399044,1.5178421020507813,1.3969939574599266,PASS,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,True,False,False,False,False,0,1,LIMITED_0_OR_1_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
14,14,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,0.8889502018690109,0.7429962158203125,0.3653083518147468,WARN,CORROBORATED_LOW_STRUCTURAL_STATURE,CORROBORATED,LOW_STATURE_CORROBORATED,False,False,False,True,True,1,1,LIMITED_0_OR_1_OF_3,STRUCTURE_ONLY,SINGLE_DOMAIN_PRIORITY,Relatively low structural stature is present without another supported major-domain anomaly.,"Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
15,15,,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,WATER_STATUS_NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,LIMITED,,,,,,,,False,False,False,NOT_FULLY_ASSESSABLE,NOT_FULLY_ASSESSABLE,1.6710191249847413,1.5936012268066406,1.0427553206682203,PASS,NO_LOW_STATURE_EVIDENCE,NONE,NO_LOW_STATURE_EVIDENCE,False,False,False,False,False,0,1,LIMITED_0_OR_1_OF_3,NO_SUPPORTED_MAJOR_DOMAIN_ANOMALY,DATA_LIMITED_REVIEW,"No supported major-domain anomaly is identified, but the assessment is incomplete or contains inconclusive evidence.","Cross-domain agreement represents internal corroboration. It does not prove that water status, biochemical change, disease, or another factor caused the structural condition."
